chembl_id,smiles,similarity
CHEMBL3422037,CCC\C(=C(\c1ccc(O)cc1)/c2ccc(OCCN)cc2)\c3ccccc3,100
CHEMBL3350384,CCC(=C(c1ccc(O)cc1)c2ccc(OCCN)cc2)c3ccccc3,94.6667
CHEMBL2386285,CC\C(=C(\c1ccc(O)cc1)/c2ccc(OCCN)cc2)\c3ccccc3,94.6667
CHEMBL2386284,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN)cc2)\c3ccccc3,94.6667
CHEMBL1949791,CCC(=C(c1ccc(O)cc1)c2ccc(OCCNC)cc2)c3ccccc3,88.7967
CHEMBL1093458,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCNC)cc2)\c3ccccc3,88.7967
CHEMBL3422028,CC\C(=C(\c1ccc(O)cc1)/c2ccc(OCCN)cc2)\c3ccc(O)cc3,88.0165
CHEMBL3422032,CC\C(=C(\c1ccc(N)cc1)/c2ccc(OCCN)cc2)\c3ccccc3,87.9493
CHEMBL3422035,C\C(=C(\c1ccc(O)cc1)/c2ccc(OCCN)cc2)\c3ccccc3,87.8525
CHEMBL3422039,NCCOc1ccc(cc1)C(=C(c2ccccc2)c3ccccc3)c4ccc(O)cc4,86.5096
CHEMBL3422036,NCCOc1ccc(cc1)\C(=C(/CCCl)\c2ccccc2)\c3ccc(O)cc3,86.2069
CHEMBL3422029,CC\C(=C(\c1ccc(O)cc1)/c2ccc(OCCN)cc2)\c3ccc(F)cc3,85.8871
CHEMBL3422050,CC\C(=C(\c1ccc(O)cc1)/c2ccc(OCCCN)cc2)\c3ccccc3,85.4123
CHEMBL3422033,CC\C(=C(\c1ccc(N)cc1)/c2ccc(OCCN)cc2)\c3ccc(O)cc3,85.3707
CHEMBL3422031,CC\C(=C(\c1ccccc1)/c2ccc(OCCN)cc2)\c3ccccc3,84.8889
CHEMBL1743350,CC\C(=C(/c1ccccc1)\c2ccc(OCCN)cc2)\c3ccccc3,84.8889
CHEMBL240342,CC\C(=C(\c1ccc(Br)cc1)/c2ccc(OCCN)cc2)\c3ccccc3,84.8548
CHEMBL3422046,CC\C(=C(\c1ccc(O)cc1)/c2ccc(OCCO)cc2)\c3ccccc3,83.2272
CHEMBL3422034,NCCOc1ccc(cc1)\C(=C\c2ccccc2)\c3ccc(O)cc3,82.9596
CHEMBL3422051,CC\C(=C(\c1ccc(O)cc1)/c2ccc(CCCN)cc2)\c3ccccc3,82.6271
CHEMBL3422052,CC\C(=C(\c1ccc(O)cc1)/c2ccc(CCCN)cc2)\c3ccc(O)cc3,82.1501
CHEMBL3422038,CC(C)\C(=C(\c1ccc(O)cc1)/c2ccc(OCCN)cc2)\c3ccccc3,81.4596
CHEMBL3330031,NCCOc1ccc(cc1)\C(=C(\CCN)/c2ccccc2)\c3ccccc3,80.7128
CHEMBL3330030,NCC\C(=C(/c1ccccc1)\c2ccc(OCCO)cc2)\c3ccccc3,79.9172
CHEMBL3422049,CC\C(=C(\c1ccc(O)cc1)/c2ccc(OCCCl)cc2)\c3ccccc3,78.0127
CHEMBL3422048,CC\C(=C(\c1ccc(O)cc1)/c2ccc(OCCBr)cc2)\c3ccccc3,76.3975
CHEMBL46128,CC\C(=C(/c1ccccc1)\c2ccc(OCCO)cc2)\c3ccccc3,76.3441
CHEMBL2074960,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCNC)cc2)\c3ccc(cc3)C(C)CO,76.0213
CHEMBL357824,CCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,75.8772
CHEMBL3785672,COc1ccc(cc1)\C(=C(\CCN)/c2ccccc2)\c3ccccc3,75.2137
CHEMBL356693,CCCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,74.1597
CHEMBL204376,CN(C)CCOc1ccc(cc1)\C(=C(\CCO)/c2ccccc2)\c3ccc(O)cc3,73.9895
CHEMBL3586194,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCNCCCCCCCCCCO)cc2)\c3ccccc3,73.9726
CHEMBL201013,CN(C)CCOc1ccc(cc1)\C(=C(\CCCO)/c2ccccc2)\c3ccc(O)cc3,73.8596
CHEMBL3586193,CCCCCCCCCCCCCCCCNCCOc1ccc(cc1)\C(=C(\CC)/c2ccccc2)\c3ccc(O)cc3,73.854
CHEMBL3586192,CCCCCCCCCCCCCCNCCOc1ccc(cc1)\C(=C(\CC)/c2ccccc2)\c3ccc(O)cc3,73.854
CHEMBL3586191,CCCCCCCCCCNCCOc1ccc(cc1)\C(=C(\CC)/c2ccccc2)\c3ccc(O)cc3,73.854
CHEMBL3586190,CCCCCCCCNCCOc1ccc(cc1)\C(=C(\CC)/c2ccccc2)\c3ccc(O)cc3,73.854
CHEMBL3098275,CCCCCCCCCCCCCCCCCCNCCOc1ccc(cc1)\C(=C(\CC)/c2ccccc2)\c3ccc(O)cc3,73.854
CHEMBL3098274,CCCCCCCCCCCCNCCOc1ccc(cc1)\C(=C(\CC)/c2ccccc2)\c3ccc(O)cc3,73.854
CHEMBL3098273,CCCCCCNCCOc1ccc(cc1)\C(=C(\CC)/c2ccccc2)\c3ccc(O)cc3,73.854
CHEMBL157972,NCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,73.6308
CHEMBL2137046,CCC(=C(c1ccc(O)cc1)c2ccc(OCCN(C)C)cc2)c3ccccc3,73.4062
CHEMBL279301,CC\C(=C(\c1ccc(O)cc1)/c2ccc(OCCN(C)C)cc2)\c3ccccc3,73.4062
CHEMBL489,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,73.4062
CHEMBL10147,CC\C(=C(\c1ccccc1)/c2ccc(OCCN(C)C)cc2)\c3ccc(O)cc3,73.4062
CHEMBL10041,CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccc(O)cc3,73.4062
CHEMBL3586195,CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCNCCCCCCCCCCF)cc2)\c3ccccc3,72.1202
CHEMBL3422030,CCC(=C(c1ccc(O)cc1)c2ccc(OCCN)cc2)CC,71.7573
CHEMBL38266,CCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccc(O)cc3,71.7213
CHEMBL316965,OCC\C(=C(/c1ccccc1)\c2ccc(O)cc2)\c3ccccc3,71.03
CHEMBL383533,CN(C)CCOc1ccc(cc1)\C(=C(\CCCCO)/c2ccccc2)\c3ccc(O)cc3,70.7563
CHEMBL383112,CN(C)CCOc1ccc(cc1)\C(=C(\CCCCl)/c2ccccc2)\c3ccc(O)cc3,70.4663
CHEMBL1091658,CCOc1ccc(cc1)\C(=C(\CC)/c2ccc(O)cc2)\c3ccc(O)cc3,70.3854
CHEMBL437700,CNCCC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,70.3827
CHEMBL38222,CCCCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccc(O)cc3,70.2756
CHEMBL2105395,OCCOc1ccc(cc1)\C(=C(\CCCl)/c2ccccc2)\c3ccccc3,70.0787
CHEMBL1091638,CC\C(=C(\c1ccccc1)/c2ccc(O)cc2)\c3ccc(O)cc3,70
CHEMBL1093253,CC\C(=C(/c1ccccc1)\c2ccc(O)cc2)\c3ccc(O)cc3,70
CHEMBL149791,CCC(=C(c1ccc(O)cc1)c2ccc(O)cc2)c3ccccc3,70
